"","Inc","Capital","Hours","Age","Industry","Education","Marital","Occupation"
"342","<=$50K",0,17,74,"Private","High School","Never Married","Admin"
"343","<=$50K",0,6,79,"Private","Bach","Married","Management"
"344","<=$50K",0,19,76,"Self-Emp","High School","Married","Management"
"345","<=$50K",0,27,69,"Private","High School","Never Married","Specialist"
"346","<=$50K",0,60,22,"Private","Min","Married","Agricultural"
"347","<=$50K",0,12,76,"Private","Bach","Never Married","Management"
"348","<=$50K",0,18,76,"Self-Emp","Min","Never Married","Trades"
"349",">$50K",0,40,55,"Govt","Bach","Married","Agricultural"
"350","<=$50K",0,14,77,"Private","High School","Never Married","Trades"
"351",">$50K",0,58,26,"Govt","Min","Never Married","Specialist"
"352","<=$50K",0,19,42,"Self-Emp","High School","Married","Agricultural"
"353",">$50K",0,55,46,"Private","Bach","Married","Agricultural"
"354",">$50K",0,57,34,"Private","High School","Never Married","Specialist"
"355","<=$50K",0,16,74,"Govt","Min","Divorced","Agricultural"
"356",">$50K",0,52,37,"Private","Master","Divorced","Trades"
"357","<=$50K",0,16,69,"Self-Emp","High School","Never Married","Agricultural"
"358","<=$50K",0,34,21,"Private","High School","Married","Trades"
"359",">$50K",0,44,33,"Private","High School","Divorced","Trades"
"360",">$50K",0,33,52,"Private","High School","Married","Specialist"
"361","<=$50K",0,40,24,"Private","Min","Never Married","Management"
"362",">$50K",0,51,48,"Private","Bach","Married","Admin"
"363","<=$50K",0,29,22,"Private","Min","Married","Specialist"
"364","<=$50K",0,19,75,"Private","Master","Never Married","Agricultural"
"365","<=$50K",0,18,22,"Private","Min","Never Married","Specialist"
"366",">$50K",0,38,43,"Govt","Bach","Divorced","Agricultural"
"367",">$50K",0,28,67,"Govt","High School","Divorced","Trades"
"368",">$50K",0,47,41,"Private","Bach","Married","Admin"
"369",">$50K",0,31,69,"Private","Bach","Never Married","Specialist"
"370","<=$50K",0,14,69,"Private","Bach","Married","Admin"
"371",">$50K",0,31,66,"Private","Bach","Married","Management"
"372","<=$50K",0,28,38,"Private","Bach","Never Married","Trades"
"373",">$50K",0,38,51,"Private","Min","Divorced","Management"
"374","<=$50K",0,24,42,"Private","High School","Divorced","Management"
"375",">$50K",0,30,49,"Private","High School","Divorced","Admin"
"376","<=$50K",0,27,66,"Govt","Bach","Married","Trades"
"377","<=$50K",915,2,84,"Private","Bach","Married","Management"
"378",">$50K",0,41,56,"Private","Bach","Married","Admin"
"379",">$50K",0,49,41,"Private","Master","Married","Admin"
"380",">$50K",0,40,69,"Govt","Min","Married","Trades"
"381","<=$50K",0,23,31,"Private","Min","Divorced","Management"
"382",">$50K",4868,31,60,"Self-Emp","High School","Married","Agricultural"
"383",">$50K",2434,58,35,"Private","Bach","Never Married","Agricultural"
"384","<=$50K",0,5,82,"Self-Emp","Master","Never Married","Admin"
"385",">$50K",0,34,62,"Private","High School","Never Married","Trades"
"386","<=$50K",0,34,20,"Self-Emp","Min","Married","Agricultural"
"387",">$50K",0,40,49,"Private","High School","Married","Trades"
"388","<=$50K",0,34,21,"Private","Min","Married","Management"
"389",">$50K",0,34,51,"Private","High School","Divorced","Agricultural"
"390","<=$50K",0,22,71,"Private","Master","Never Married","Agricultural"
"391",">$50K",1665,51,38,"Private","High School","Married","Management"
"392",">$50K",2319,48,59,"Private","Bach","Married","Management"
"393",">$50K",0,37,50,"Private","High School","Married","Management"
"394",">$50K",0,29,50,"Private","High School","Divorced","Trades"
"395","<=$50K",0,18,76,"Govt","Min","Divorced","Agricultural"
"396",">$50K",0,50,43,"Private","High School","Never Married","Agricultural"
"397","<=$50K",0,22,69,"Private","Bach","Divorced","Specialist"
"398","<=$50K",0,3,83,"Private","High School","Never Married","Admin"
"399",">$50K",0,51,29,"Private","Master","Married","Management"
"400","<=$50K",0,17,77,"Private","Bach","Married","Trades"
"401",">$50K",0,62,48,"Private","Bach","Married","Admin"
"402",">$50K",0,56,32,"Private","High School","Never Married","Admin"
"403",">$50K",0,48,29,"Private","High School","Divorced","Admin"
"404","<=$50K",0,29,22,"Private","High School","Never Married","Trades"
"405",">$50K",0,51,64,"Private","Bach","Married","Management"
"406",">$50K",1732,25,57,"Private","Bach","Never Married","Trades"
"407",">$50K",0,54,61,"Private","Bach","Divorced","Admin"
"408","<=$50K",0,24,63,"Private","Bach","Married","Trades"
"409","<=$50K",0,21,53,"Private","Min","Never Married","Specialist"
"410","<=$50K",0,9,81,"Govt","Master","Married","Specialist"
"411",">$50K",0,48,63,"Private","Bach","Married","Trades"
"412",">$50K",0,36,44,"Private","Master","Never Married","Admin"
"413",">$50K",0,45,35,"Private","High School","Married","Trades"
"414",">$50K",0,48,42,"Govt","Bach","Never Married","Specialist"
"415",">$50K",0,51,39,"Govt","High School","Never Married","Trades"
"416",">$50K",0,61,58,"Govt","Bach","Married","Specialist"
"417",">$50K",0,61,56,"Private","Bach","Married","Agricultural"
"418",">$50K",1199,53,24,"Private","High School","Married","Specialist"
"419","<=$50K",0,24,23,"Private","Min","Married","Admin"
"420",">$50K",0,39,48,"Private","Bach","Never Married","Trades"
"421",">$50K",0,57,47,"Private","Bach","Married","Trades"
"422","<=$50K",0,23,73,"Private","Bach","Married","Management"
"423","<=$50K",0,16,74,"Self-Emp","Bach","Never Married","Management"
"424",">$50K",0,30,61,"Govt","Bach","Married","Specialist"
"425",">$50K",0,56,48,"Private","High School","Never Married","Specialist"
"426","<=$50K",0,22,68,"Private","Min","Married","Admin"
"427",">$50K",0,55,32,"Private","High School","Married","Trades"
"428",">$50K",0,61,38,"Private","High School","Never Married","Trades"
"429",">$50K",0,31,55,"Private","High School","Married","Agricultural"
"430",">$50K",0,26,59,"Private","High School","Never Married","Specialist"
"431",">$50K",0,49,52,"Private","Min","Married","Trades"
"432",">$50K",0,29,57,"Private","Bach","Never Married","Management"
"433",">$50K",0,32,43,"Self-Emp","High School","Married","Specialist"
"434",">$50K",0,37,35,"Private","Bach","Married","Agricultural"
"435",">$50K",1484,32,63,"Private","High School","Married","Trades"
"436","<=$50K",0,5,81,"Self-Emp","Bach","Married","Admin"
"437",">$50K",0,46,33,"Private","Master","Married","Management"
